type,analysis_type,slope_Vacuum,slope_Air,pcl_diameter_Vacuum,pcl_diameter_Air,r_squared_Vacuum,r_squared_Air,slope_difference,pcl_ratio,r_squared_diff
Surface,Cumulative,-1.4821004344870872,-1.2480347876226634,1214.797419930749,3261.91132881857,0.9708855053843333,0.9119406940872077,-0.23406564686442377,0.37241889722696286,0.05894481129712559
Surface,Binned,-1.2813301979813843,-0.7925566642871511,1137.9083993866209,20176.99712034128,0.9519450420363852,0.6994147695277972,-0.48877353369423315,0.056396320651671585,0.25253027250858795
Edge,Cumulative,-1.168469300603394,-1.1314157284761097,102.7905948995822,185.4531926774753,0.9555178925678056,0.9713517566940508,-0.03705357212728422,0.5542670547513681,-0.015833864126245212
Edge,Binned,-0.8528561030805069,-0.8664808854590014,69.04039391358904,124.14777212786888,0.9070564574708103,0.9214846393205434,0.013624782378494515,0.5561146424961962,-0.014428181849733046
CalWafer,Cumulative,-0.7510843861019372,-0.7645475940417438,352.07472966771917,686.4838418323772,0.9897329760925642,0.992835361967873,0.013463207939806598,0.5128667394821033,-0.0031023858753088662
CalWafer,Binned,-0.6224628686376793,-0.6871417043743873,79.7291443855422,140.92641045987688,0.7893771454147638,0.7341704037750025,0.06467883573670796,0.5657501963284722,0.05520674163976125
Model,Cumulative,-1.0543159571782357,-0.8923297544318327,75.23216588813305,127.73194169014157,0.9539492777248472,0.8835126163335593,-0.16198620274640296,0.5889847511332361,0.0704366613912879
Model,Binned,-0.7817012236341244,-0.2927419337176839,31.91060196649531,196.79004330451414,0.8804091174591807,0.24111562008729864,-0.4889592899164405,0.1621555716470708,0.639293497371882
